multi_title,theta,n_keywords,p,r
TRUE,1,28,1,0.037809648
TRUE,1,30,0.965517241,0.036505867
TRUE,1,32,1,0.020860495
TRUE,1,34,0.958333333,0.029986962
TRUE,1,36,1,0.035202086
TRUE,1,38,1,0.032594524
TRUE,1,40,1,0.037809648
FALSE,0.1,5,0.325571178,0.966101695
FALSE,0.1,6,0.292094862,0.963494133
FALSE,0.1,8,0.297340214,0.976531943
FALSE,0.1,10,0.277073524,0.997392438
FALSE,0.1,12,0.299295775,0.997392438
FALSE,0.1,14,0.295533981,0.992177314
FALSE,0.1,16,0.277656477,0.994784876
FALSE,0.1,17,0.277252907,0.994784876
FALSE,0.1,19,0.270722163,0.992177314
FALSE,0.1,21,0.275924583,0.992177314
FALSE,0.1,23,0.288039364,0.992177314
FALSE,0.1,25,0.301028481,0.992177314
FALSE,0.1,27,0.30162505,0.992177314
FALSE,0.1,28,0.292018419,0.992177314
FALSE,0.1,30,0.292337165,0.994784876
FALSE,0.1,32,0.288687098,0.994784876
FALSE,0.1,34,0.289343951,0.994784876
FALSE,0.1,36,0.293687452,0.994784876
FALSE,0.1,38,0.28186184,0.994784876
FALSE,0.1,40,0.284171322,0.994784876
FALSE,0.112883789,5,0.335902085,0.966101695
FALSE,0.112883789,6,0.295481807,0.963494133
FALSE,0.112883789,8,0.315258512,0.977835724
FALSE,0.112883789,10,0.287542341,0.996088657
FALSE,0.112883789,12,0.310876623,0.998696219
FALSE,0.112883789,14,0.283959806,0.994784876
FALSE,0.112883789,16,0.295621852,0.994784876
FALSE,0.112883789,17,0.295736434,0.994784876
FALSE,0.112883789,19,0.292449214,0.994784876
FALSE,0.112883789,21,0.297234125,0.994784876
FALSE,0.112883789,23,0.31206544,0.994784876
FALSE,0.112883789,25,0.336271485,0.994784876
FALSE,0.112883789,27,0.313733553,0.994784876
FALSE,0.112883789,28,0.310794297,0.994784876
FALSE,0.112883789,30,0.308656958,0.994784876
FALSE,0.112883789,32,0.307909605,0.994784876
FALSE,0.112883789,34,0.30181962,0.994784876
FALSE,0.112883789,36,0.302897975,0.994784876
FALSE,0.112883789,38,0.301939058,0.994784876
FALSE,0.112883789,40,0.302657676,0.994784876
FALSE,0.127427499,5,0.345132743,0.966101695
FALSE,0.127427499,6,0.326404246,0.962190352
FALSE,0.127427499,8,0.325945241,0.977835724
FALSE,0.127427499,10,0.301812451,0.998696219
FALSE,0.127427499,12,0.326906598,0.994784876
FALSE,0.127427499,14,0.307413376,0.994784876
FALSE,0.127427499,16,0.306432281,1
FALSE,0.127427499,17,0.338780919,1
FALSE,0.127427499,19,0.331019523,0.994784876
FALSE,0.127427499,21,0.331306991,0.994784876
FALSE,0.127427499,23,0.35626186,0.979139505
FALSE,0.127427499,25,0.326207781,0.994784876
FALSE,0.127427499,27,0.325010762,0.984354628
FALSE,0.127427499,28,0.349519011,0.994784876
FALSE,0.127427499,30,0.356542056,0.994784876
FALSE,0.127427499,32,0.327186964,0.994784876
FALSE,0.127427499,34,0.326766595,0.994784876
FALSE,0.127427499,36,0.356375525,0.994784876
FALSE,0.127427499,38,0.316992106,0.994784876
FALSE,0.127427499,40,0.355379599,0.994784876
FALSE,0.143844989,5,0.391419492,0.963494133
FALSE,0.143844989,6,0.344040968,0.963494133
FALSE,0.143844989,8,0.367804878,0.983050847
FALSE,0.143844989,10,0.320116861,1
FALSE,0.143844989,12,0.37857848,1
FALSE,0.143844989,14,0.342257921,1
FALSE,0.143844989,16,0.349908759,1
FALSE,0.143844989,17,0.354600092,1
